PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;vrouw;42;45;67;63;81
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;man;41;52;56;59;55
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;vrouw;85;87;117;139;139
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;man;106;130;140;143;155
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;vrouw;34;47;49;61;63
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;man;0;25;42;49;87
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;vrouw;0;52;88;155;200
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;man;0;0;7;14;17
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;vrouw;0;0;23;38;66
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;man;50;55;63;64;65
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;vrouw;334;350;379;402;428
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;man;0;0;0;4;5
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;vrouw;0;0;0;16;51
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;man;25;39;37;33;33
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;vrouw;201;259;245;241;202
